0 0011_00 0 0 0.0
1 0011_00 1 0 0.0
2 0011_00 2 0 0.0
3 0011_00 3 0 0.0
4 0011_00 4 0 0.0
0 0011_00 0 1 0.92661643
1 0011_00 1 1 0.34815934
2 0011_00 2 1 0.5530533
3 0011_00 3 1 0.947336
4 0011_00 4 1 0.95726275
0 0011_00 0 2 0.9276418
1 0011_00 1 2 0.36240393
2 0011_00 2 2 0.5885651
3 0011_00 3 2 0.99108243
4 0011_00 4 2 0.95006436
0 0011_00 0 3 0.92548895
1 0011_00 1 3 0.4773982
2 0011_00 2 3 0.64431256
3 0011_00 3 3 0.9848071
4 0011_00 4 3 0.96144766
0 0011_00 0 4 0.9308754
1 0011_00 1 4 0.61192226
2 0011_00 2 4 0.64081115
3 0011_00 3 4 0.98690623
4 0011_00 4 4 0.95675105
0 0011_00 0 5 0.9284387
1 0011_00 1 5 0.60240227
2 0011_00 2 5 0.65280724
3 0011_00 3 5 0.9880843
4 0011_00 4 5 0.9643136
0 0011_00 0 6 0.92804545
1 0011_00 1 6 0.57843554
2 0011_00 2 6 0.71809995
3 0011_00 3 6 0.9889807
4 0011_00 4 6 0.97061884
0 0011_00 0 7 0.9299002
1 0011_00 1 7 0.6456962
2 0011_00 2 7 0.71713364
3 0011_00 3 7 0.9858722
4 0011_00 4 7 0.9729589
0 0011_00 0 8 0.9294518
1 0011_00 1 8 0.6188588
2 0011_00 2 8 0.74925953
3 0011_00 3 8 0.99018407
4 0011_00 4 8 0.9752346
0 0011_00 0 9 0.9314949
1 0011_00 1 9 0.648226
2 0011_00 2 9 0.74818504
3 0011_00 3 9 0.9920025
4 0011_00 4 9 0.9735394
0 0011_00 0 10 0.9303085
1 0011_00 1 10 0.63999426
2 0011_00 2 10 0.7464569
3 0011_00 3 10 0.9886119
4 0011_00 4 10 0.9764398
0 0011_00 0 11 0.9293253
1 0011_00 1 11 0.7169522
2 0011_00 2 11 0.75454545
3 0011_00 3 11 0.99139255
4 0011_00 4 11 0.9748428
0 0011_00 0 12 0.9306761
1 0011_00 1 12 0.70722085
2 0011_00 2 12 0.76700026
3 0011_00 3 12 0.992
4 0011_00 4 12 0.97724897
0 0011_00 0 13 0.92992157
1 0011_00 1 13 0.713648
2 0011_00 2 13 0.7640494
3 0011_00 3 13 0.99230766
4 0011_00 4 13 0.9769392
0 0011_00 0 14 0.9302666
1 0011_00 1 14 0.7248632
2 0011_00 2 14 0.772139
3 0011_00 3 14 0.99230766
4 0011_00 4 14 0.97774285
0 0011_00 0 15 0.92794615
1 0011_00 1 15 0.75728565
2 0011_00 2 15 0.76890206
3 0011_00 3 15 0.99230766
4 0011_00 4 15 0.97494125
0 0011_00 0 16 0.9306408
1 0011_00 1 16 0.75147843
2 0011_00 2 16 0.7812288
3 0011_00 3 16 0.99230766
4 0011_00 4 16 0.97723705
0 0011_00 0 17 0.92650616
1 0011_00 1 17 0.7713351
2 0011_00 2 17 0.78705764
3 0011_00 3 17 0.99230766
4 0011_00 4 17 0.9774869
0 0011_00 0 18 0.92746097
1 0011_00 1 18 0.779555
2 0011_00 2 18 0.7738632
3 0011_00 3 18 0.99230766
4 0011_00 4 18 0.9774869
0 0011_00 0 19 0.93207026
1 0011_00 1 19 0.78703177
2 0011_00 2 19 0.77770203
3 0011_00 3 19 0.99230766
4 0011_00 4 19 0.9774869
0 0011_00 0 20 0.93390083
1 0011_00 1 20 0.7824449
2 0011_00 2 20 0.7866188
3 0011_00 3 20 0.99230766
4 0011_00 4 20 0.9774869
5 0011_00 5 0 0.0
6 0011_00 6 0 0.0
7 0011_00 7 0 0.0
8 0011_00 8 0 0.0
9 0011_00 9 0 0.0
5 0011_00 5 1 0.86937904
6 0011_00 6 1 0.821192
7 0011_00 7 1 0.6233184
8 0011_00 8 1 0.8999154
9 0011_00 9 1 0.85755813
5 0011_00 5 2 0.8581796
6 0011_00 6 2 0.75726545
7 0011_00 7 2 0.6667656
8 0011_00 8 2 0.8162209
9 0011_00 9 2 0.8667981
5 0011_00 5 3 0.89946777
6 0011_00 6 3 0.8426718
